Residual Error Report

Residual Units: Ground units

Residual Summary for 3 Images
 Active GCPs:   10 X RMS:  2.285 Y RMS:  2.101 Z RMS:  0.741                                          
  Check points   0 X RMS:        Y RMS:        Z RMS:                                                 
  Active TPs:  169 X RMS:  0.333 Y RMS:  0.759 Z RMS:  0.263                                          
Inactive GCPs:   0 X RMS:        Y RMS:        Z RMS:                                                 
 Inactive TPs:   0 X RMS:        Y RMS:        Z RMS:                                                 

Listing: All points All images

Point ID        Res XY         Res X      Res Y      Res Z  Type     Image ID       Ground X         Ground Y         Ground Z           Comp X           Comp Y 
    G0001      5.931      1.443     -5.753     -0.887   GCP    1037-01       620279.420      4847360.091          189.557       620280.862      4847354.338
    G0001      5.931      1.443     -5.753     -0.887   GCP    1038-01       620279.420      4847360.091          189.557       620280.862      4847354.338
    G0003      4.934      4.697     -1.511     -0.081   GCP    1037-01       620765.351      4847825.878          198.861       620770.049      4847824.367
    G0003      4.934      4.697     -1.511     -0.081   GCP    1038-01       620765.351      4847825.878          198.861       620770.049      4847824.367
    G0003      4.934      4.697     -1.511     -0.081   GCP    1039-01       620765.351      4847825.878          198.861       620770.049      4847824.367
    G0005      3.962     -3.331      2.145      0.993   GCP    1037-01       620866.783      4847533.644          199.386       620863.452      4847535.790
    G0005      3.962     -3.331      2.145      0.993   GCP    1038-01       620866.783      4847533.644          199.386       620863.452      4847535.790
    G0005      3.962     -3.331      2.145      0.993   GCP    1039-01       620866.783      4847533.644          199.386       620863.452      4847535.790
    G0006      2.501      2.501     -0.019      0.861   GCP    1038-01       620216.876      4848040.660          201.587       620219.377      4848040.641
    G0006      2.501      2.501     -0.019      0.861   GCP    1037-01       620216.876      4848040.660          201.587       620219.377      4848040.641
    G0010      2.361     -0.579      2.289      0.863   GCP    1038-01       620507.181      4847465.379          198.761       620506.602      4847467.668
    G0010      2.361     -0.579      2.289      0.863   GCP    1039-01       620507.181      4847465.379          198.761       620506.602      4847467.668
    G0010      2.361     -0.579      2.289      0.863   GCP    1037-01       620507.181      4847465.379          198.761       620506.602      4847467.668
      G09      2.226     -1.618      1.529     -0.380   GCP    1039-01       620448.165      4847644.319          201.028       620446.547      4847645.848
      G09      2.226     -1.618      1.529     -0.380   GCP    1037-01       620448.165      4847644.319          201.028       620446.547      4847645.848
      G09      2.226     -1.618      1.529     -0.380   GCP    1038-01       620448.165      4847644.319          201.028       620446.547      4847645.848
    G0008      2.090     -2.081      0.191     -1.179   GCP    1038-01       620448.339      4847823.561          200.085       620446.258      4847823.752
    G0008      2.090     -2.081      0.191     -1.179   GCP    1039-01       620448.339      4847823.561          200.085       620446.258      4847823.752
    G0008      2.090     -2.081      0.191     -1.179   GCP    1037-01       620448.339      4847823.561          200.085       620446.258      4847823.752
    G0007      1.991     -0.626      1.891     -0.549   GCP    1038-01       620317.225      4847888.257          198.937       620316.600      4847890.148
    G0007      1.991     -0.626      1.891     -0.549   GCP    1037-01       620317.225      4847888.257          198.937       620316.600      4847890.148
    G0002      0.991      0.520     -0.843      0.621   GCP    1037-01       620380.641      4848261.207          199.930       620381.161      4848260.364
