Residual Error Report

Residual Units: Ground units

Residual Summary for 3 Images
 Active GCPs:   10 X RMS:  2.255 Y RMS:  1.958 Z RMS:  0.697                                          
  Check points   0 X RMS:        Y RMS:        Z RMS:                                                 
  Active TPs:  169 X RMS:  0.329 Y RMS:  0.732 Z RMS:  0.254                                          
Inactive GCPs:   0 X RMS:        Y RMS:        Z RMS:                                                 
 Inactive TPs:   0 X RMS:        Y RMS:        Z RMS:                                                 

Listing: All points All images

Point ID        Res XY         Res X      Res Y      Res Z  Type     Image ID       Ground X         Ground Y         Ground Z           Comp X           Comp Y 
    G0001      7.121      3.490     -6.208     -0.695   GCP    1037-01       620274.903      4847359.182          189.427       620278.394      4847352.974
    G0001      7.121      3.490     -6.208     -0.695   GCP    1038-01       620274.903      4847359.182          189.427       620278.394      4847352.974
   AT0031      5.143      4.595     -2.309     -0.299    TP    1038-01       620477.192      4847538.627          241.078       620481.787      4847536.318
   AT0031      4.889     -2.352      4.286      0.227    TP    1039-01       620477.192      4847538.627          241.078       620474.839      4847542.913
   AT0113      4.570      0.652     -4.524     -1.680    TP    1037-01       620673.373      4848239.876          205.697       620674.025      4848235.353
   AT0160      3.892      0.288     -3.882      1.857    TP    1037-01       620385.891      4846964.023          195.648       620386.180      4846960.141
   AT0099      3.858      0.202      3.853     -1.506    TP    1037-01       620644.980      4847070.987          185.902       620645.183      4847074.840
   AT0099      3.858      0.207     -3.853      1.533    TP    1039-01       620644.980      4847070.987          185.902       620645.188      4847067.134
    G0005      3.528     -3.369      1.047      1.001   GCP    1037-01       620866.783      4847533.644          199.386       620863.414      4847534.692
    G0005      3.528     -3.369      1.047      1.001   GCP    1038-01       620866.783      4847533.644          199.386       620863.414      4847534.692
    G0005      3.528     -3.369      1.047      1.001   GCP    1039-01       620866.783      4847533.644          199.386       620863.414      4847534.692
   AT0051      3.438     -0.558      3.392     -1.572    TP    1039-01       620757.316      4846974.277          209.460       620756.757      4846977.669
    G0003      3.215      3.206      0.238     -0.004   GCP    1037-01       620767.325      4847823.059          198.994       620770.532      4847823.297
    G0003      3.215      3.206      0.238     -0.004   GCP    1039-01       620767.325      4847823.059          198.994       620770.532      4847823.297
    G0003      3.215      3.206      0.238     -0.004   GCP    1038-01       620767.325      4847823.059          198.994       620770.532      4847823.297
   AT0031      2.970     -2.233     -1.959      0.106    TP    1037-01       620477.192      4847538.627          241.078       620474.959      4847536.668
   AT0028      2.824     -0.608     -2.758     -0.040    TP    1039-01       620895.629      4847672.681          226.700       620895.021      4847669.923
   AT0079      2.791     -0.069      2.791     -0.173    TP    1039-01       620381.296      4847557.903          185.289       620381.227      4847560.693
   AT0079      2.774      0.018     -2.774      0.200    TP    1037-01       620381.296      4847557.903          185.289       620381.314      4847555.128
   AT0160      2.752     -0.716      2.657     -1.130    TP    1038-01       620385.891      4846964.023          195.648       620385.175      4846966.680
   AT0113      2.689     -0.849      2.551      1.007    TP    1038-01       620673.373      4848239.876          205.697       620672.524      4848242.428
   AT0081      2.657      0.038     -2.657      0.200    TP    1039-01       620642.637      4847553.739          209.475       620642.675      4847551.082
   AT0081      2.652      0.020      2.652     -0.190    TP    1037-01       620642.637      4847553.739          209.475       620642.658      4847556.391
   AT0004      2.652      0.863     -2.508     -1.175    TP    1038-01       620763.560      4848387.551          200.416       620764.422      4848385.043
    G0007      2.457     -0.901      2.286     -0.662   GCP    1037-01       620317.225      4847888.257          198.937       620316.324      4847890.543
    G0007      2.457     -0.901      2.286     -0.662   GCP    1038-01       620317.225      4847888.257          198.937       620316.324      4847890.543
    G0006      2.440      2.306      0.796      0.609   GCP    1037-01       620216.876      4848040.660          201.587       620219.183      4848041.456
    G0006      2.440      2.306      0.796      0.609   GCP    1038-01       620216.876      4848040.660          201.587       620219.183      4848041.456
      G09      2.386     -2.072      1.184     -0.493   GCP    1037-01       620448.165      4847644.319          201.028       620446.093      4847645.503
      G09      2.386     -2.072      1.184     -0.493   GCP    1038-01       620448.165      4847644.319          201.028       620446.093      4847645.503
      G09      2.386     -2.072      1.184     -0.493   GCP    1039-01       620448.165      4847644.319          201.028       620446.093      4847645.503
    G0008      2.204     -2.198      0.165     -1.225   GCP    1037-01       620448.339      4847823.561          200.085       620446.141      4847823.726
    G0008      2.204     -2.198      0.165     -1.225   GCP    1038-01       620448.339      4847823.561          200.085       620446.141      4847823.726
    G0008      2.204     -2.198      0.165     -1.225   GCP    1039-01       620448.339      4847823.561          200.085       620446.141      4847823.726
   AT0051      2.162     -0.595     -2.078      0.857    TP    1037-01       620757.316      4846974.277          209.460       620756.720      4846972.198
   AT0113      2.022      0.506      1.957      0.724    TP    1039-01       620673.373      4848239.876          205.697       620673.879      4848241.833
    G0010      1.865     -1.214      1.416      0.645   GCP    1037-01       620507.181      4847465.379          198.761       620505.967      4847466.796
    G0010      1.865     -1.214      1.416      0.645   GCP    1038-01       620507.181      4847465.379          198.761       620505.967      4847466.796
    G0010      1.865     -1.214      1.416      0.645   GCP    1039-01       620507.181      4847465.379          198.761       620505.967      4847466.796
   AT0004      1.849     -0.504      1.780      0.776    TP    1037-01       620763.560      4848387.551          200.416       620763.056      4848389.331
   AT0028      1.784     -0.578      1.688     -0.171    TP    1037-01       620895.629      4847672.681          226.700       620895.051      4847674.369
   AT0028      1.609      1.203      1.068      0.233    TP    1038-01       620895.629      4847672.681          226.700       620896.833      4847673.749
   AT0051      1.530      0.817     -1.293      0.680    TP    1038-01       620757.316      4846974.277          209.460       620758.133      4846972.984
   AT0068      1.395     -0.063     -1.394     -0.216    TP    1039-01       620383.450      4847904.919          240.869       620383.387      4847903.525
   AT0068      1.385      0.007      1.385      0.239    TP    1037-01       620383.450      4847904.919          240.869       620383.457      4847906.304
   AT0077      1.359      0.002     -1.359     -0.009    TP    1039-01       620382.967      4847673.431          230.750       620382.969      4847672.072
   AT0077      1.353     -0.002      1.353      0.013    TP    1037-01       620382.967      4847673.431          230.750       620382.966      4847674.785
   AT0160      1.288      0.106      1.284     -0.644    TP    1039-01       620385.891      4846964.023          195.648       620385.997      4846965.307
    G0002      1.266      1.146     -0.538      0.591   GCP    1038-01       620380.641      4848261.207          199.930       620381.787      4848260.669
    G0002      1.266      1.146     -0.538      0.591   GCP    1037-01       620380.641      4848261.207          199.930       620381.787      4848260.669
    G0002      1.266      1.146     -0.538      0.591   GCP    1039-01       620380.641      4848261.207          199.930       620381.787      4848260.669
